name,comm_cost,complexity,type
explored-359,0.8504224008720535,14,explored
explored-360,0.8585483652053025,58,explored
explored-361,0.8718558386701185,16,explored
explored-362,0.8544479833764818,19,explored
explored-363,0.9700640414225371,10,explored
explored-364,0.7175160791388111,64,explored
explored-365,0.7763659899168824,20,explored
explored-366,0.9090513391167431,16,explored
explored-367,0.5344759818461957,51,explored
explored-368,0.7853726522629763,45,explored
explored-369,0.9015626354841506,16,explored
explored-370,0.8910273879275106,24,explored
explored-371,0.6938728854149893,88,explored
explored-372,0.8044295317254848,26,explored
explored-373,0.9845006131625562,13,explored
explored-374,0.9336277774047153,24,explored
explored-375,0.8370550563869096,16,explored
explored-376,0.8258731888994868,14,explored
explored-377,0.9107848480719444,15,explored
explored-378,0.7492984487704334,54,explored
explored-379,0.572787505109688,62,explored
explored-380,0.8781169096607168,24,explored
explored-381,0.7978028341735931,37,explored
explored-382,0.9223714936005438,36,explored
explored-383,0.8343764322610214,33,explored
explored-384,0.9760399918244993,14,explored
explored-385,0.8488622428123722,16,explored
explored-386,0.7149581857201254,87,explored
explored-387,0.9617216241994823,19,explored
explored-388,0.9617114048235454,18,explored
explored-389,0.6156499591913136,52,explored
explored-390,0.6401076440932008,26,explored
explored-391,0.8684608295105298,26,explored
explored-392,0.7209769723395558,24,explored
explored-393,0.8077224417495572,22,explored
explored-394,0.8070089779110081,26,explored
explored-395,0.7581049383917622,32,explored
explored-396,0.4209807572936065,76,explored
explored-397,0.9996252895489849,10,explored
explored-398,0.4438956261070991,84,explored
explored-399,0.8352806921923968,16,explored
explored-400,0.7603122793543832,32,explored
explored-401,0.8758595630649044,16,explored
explored-402,0.795185004101109,30,explored
explored-403,0.5686018190489167,53,explored
explored-404,0.7569491756370078,36,explored
explored-405,0.6137075895898624,38,explored
explored-406,0.9689624337731305,69,explored
explored-407,0.7157764454739519,37,explored
explored-408,0.5641294227188082,48,explored
explored-409,0.8596293431019677,34,explored
explored-410,0.7917366883166038,22,explored
explored-411,0.4653903801607848,74,explored
explored-412,0.9339147022755143,14,explored
explored-413,0.7372342962256438,42,explored
explored-414,0.47423622330796333,51,explored
explored-415,0.760149453890893,22,explored
explored-416,0.6917154925739202,24,explored
explored-417,0.9919096607167189,7,explored
explored-418,0.8182664740511274,53,explored
explored-419,0.8259015760548667,21,explored
explored-420,0.8265669709769723,20,explored
explored-421,0.8372647731588454,23,explored
explored-422,0.7838781774689255,31,explored
explored-423,0.6920670877698402,70,explored
explored-424,0.5938791615569787,47,explored
explored-425,0.9150411285059631,22,explored
explored-426,0.8365089097818352,16,explored
explored-427,0.9680005790979698,13,explored
explored-428,0.7690421038288595,18,explored
explored-429,0.8293364218558387,18,explored
explored-430,0.8765897105824925,40,explored
explored-431,0.5694236271971658,35,explored
explored-432,0.9087920697642731,16,explored
explored-433,0.8718149611663715,16,explored
explored-434,0.9838661602398147,13,explored
